Date,Reference ID,Amount,Charges,GST Amount,Total,Created At
11/08/2025,PAYS99131242,25000.08,387.5,69.75,25457.33,2025-08-11T09:58:57.271Z
11/08/2025,PAYS20737832,10774,167,30.06,10971.06,2025-08-11T10:06:41.613Z
11/08/2025,PAYS72259702,35000,542.5,97.65,35640.15,2025-08-11T11:03:11.087Z
11/08/2025,PAYS31636558,1100,17.05,3.07,1120.12,2025-08-11T12:42:19.372Z
11/08/2025,PAYS35192881,1300,20.15,3.63,1323.78,2025-08-11T12:42:28.243Z
11/08/2025,PAYS58637663,1100,17.05,3.07,1120.12,2025-08-11T12:42:36.298Z
11/08/2025,PAYS68180591,1100,17.05,3.07,1120.12,2025-08-11T12:42:48.055Z
11/08/2025,PAYS82761745,1050,16.27,2.93,1069.2,2025-08-11T12:43:00.344Z
11/08/2025,PAYS58613469,1002,15.53,2.8,1020.33,2025-08-11T12:43:12.743Z
11/08/2025,PAYS39739674,1500,23.25,4.18,1527.43,2025-08-11T12:43:24.912Z
11/08/2025,PAYS26924255,1047,16.23,2.92,1066.15,2025-08-11T12:43:36.974Z
11/08/2025,PAYS91447446,1056,16.37,2.95,1075.31,2025-08-11T12:43:48.286Z
11/08/2025,PAYS57918355,1700,26.35,4.74,1731.09,2025-08-11T12:46:00.704Z
11/08/2025,PAYS99196432,3000,46.5,8.37,3054.87,2025-08-11T12:46:08.889Z
11/08/2025,PAYS89716635,3000,46.5,8.37,3054.87,2025-08-11T12:46:21.178Z
11/08/2025,PAYS65321266,5000,77.5,13.95,5091.45,2025-08-11T12:46:33.319Z
11/08/2025,PAYS12586175,2003,31.05,5.59,2039.63,2025-08-11T12:46:37.562Z
11/08/2025,PAYS75901370,3001,46.52,8.37,3055.89,2025-08-11T12:46:41.657Z
11/08/2025,PAYS99578338,4000,62,11.16,4073.16,2025-08-11T12:46:45.745Z
11/08/2025,PAYS29136347,2000,31,5.58,2036.58,2025-08-11T12:46:53.944Z
11/08/2025,PAYS19127365,2000,31,5.58,2036.58,2025-08-11T12:46:58.036Z
11/08/2025,PAYS96282596,5000,77.5,13.95,5091.45,2025-08-11T12:47:02.139Z
11/08/2025,PAYS35222223,5000,77.5,13.95,5091.45,2025-08-11T12:47:10.324Z
11/08/2025,PAYS86899439,1934,29.98,5.4,1969.37,2025-08-11T12:47:14.417Z
11/08/2025,PAYS84473105,2824,43.77,7.88,2875.65,2025-08-11T12:47:18.516Z
11/08/2025,PAYS24986051,2000,31,5.58,2036.58,2025-08-11T12:47:20.974Z
11/08/2025,PAYS43486413,5000,77.5,13.95,5091.45,2025-08-11T12:47:26.716Z
11/08/2025,PAYS80161005,3357,52.03,9.37,3418.4,2025-08-11T12:47:31.097Z
11/08/2025,PAYS12119313,2100,32.55,5.86,2138.41,2025-08-11T12:47:38.323Z
